store_id,item_id,forecast_date,predicted_qty,method
S001,P001,2024-01-01,21.63,RandomForest
S001,P001,2024-01-02,23.71,RandomForest
S001,P001,2024-01-03,23.91,RandomForest
S001,P001,2024-01-04,23.78,RandomForest
S001,P001,2024-01-05,23.73,RandomForest
S001,P001,2024-01-06,29.37,RandomForest
S001,P001,2024-01-07,29.15,RandomForest
S001,P001,2024-01-08,21.6,RandomForest
S001,P001,2024-01-09,23.69,RandomForest
S001,P001,2024-01-10,23.81,RandomForest
S001,P001,2024-01-11,23.64,RandomForest
S001,P001,2024-01-12,23.62,RandomForest
S001,P001,2024-01-13,29.44,RandomForest
S001,P001,2024-01-14,29.19,RandomForest
S001,P001,2024-01-15,21.56,RandomForest
S001,P001,2024-01-16,23.57,RandomForest
S001,P001,2024-01-17,23.69,RandomForest
S001,P001,2024-01-18,23.66,RandomForest
S001,P001,2024-01-19,23.69,RandomForest
S001,P001,2024-01-20,29.47,RandomForest
S001,P001,2024-01-21,29.25,RandomForest
S001,P001,2024-01-22,21.58,RandomForest
S001,P001,2024-01-23,23.58,RandomForest
S001,P001,2024-01-24,23.69,RandomForest
S001,P001,2024-01-25,23.62,RandomForest
S001,P001,2024-01-26,23.59,RandomForest
S001,P001,2024-01-27,29.42,RandomForest
S001,P001,2024-01-28,29.2,RandomForest
S001,P001,2024-01-29,21.34,RandomForest
S001,P001,2024-01-30,23.4,RandomForest
S001,P002,2024-01-01,47.2,RandomForest
S001,P002,2024-01-02,50.38,RandomForest
S001,P002,2024-01-03,50.58,RandomForest
S001,P002,2024-01-04,50.5,RandomForest
S001,P002,2024-01-05,50.62,RandomForest
S001,P002,2024-01-06,60.91,RandomForest
S001,P002,2024-01-07,60.99,RandomForest
S001,P002,2024-01-08,47.3,RandomForest
S001,P002,2024-01-09,50.52,RandomForest
S001,P002,2024-01-10,50.7,RandomForest
S001,P002,2024-01-11,50.56,RandomForest
S001,P002,2024-01-12,50.78,RandomForest
S001,P002,2024-01-13,61.08,RandomForest
S001,P002,2024-01-14,61.21,RandomForest
S001,P002,2024-01-15,47.4,RandomForest
S001,P002,2024-01-16,50.65,RandomForest
S001,P002,2024-01-17,50.82,RandomForest
S001,P002,2024-01-18,50.71,RandomForest
S001,P002,2024-01-19,50.94,RandomForest
S001,P002,2024-01-20,61.46,RandomForest
S001,P002,2024-01-21,61.55,RandomForest
S001,P002,2024-01-22,47.45,RandomForest
S001,P002,2024-01-23,50.79,RandomForest
S001,P002,2024-01-24,51.04,RandomForest
S001,P002,2024-01-25,51.03,RandomForest
S001,P002,2024-01-26,51.08,RandomForest
S001,P002,2024-01-27,61.77,RandomForest
S001,P002,2024-01-28,61.92,RandomForest
S001,P002,2024-01-29,47.31,RandomForest
S001,P002,2024-01-30,50.78,RandomForest
S001,P003,2024-01-01,13.85,RandomForest
S001,P003,2024-01-02,15.21,RandomForest
S001,P003,2024-01-03,15.27,RandomForest
S001,P003,2024-01-04,15.31,RandomForest
S001,P003,2024-01-05,15.15,RandomForest
S001,P003,2024-01-06,19.13,RandomForest
S001,P003,2024-01-07,19.17,RandomForest
S001,P003,2024-01-08,13.83,RandomForest
S001,P003,2024-01-09,15.24,RandomForest
S001,P003,2024-01-10,15.31,RandomForest
S001,P003,2024-01-11,15.34,RandomForest
S001,P003,2024-01-12,15.19,RandomForest
S001,P003,2024-01-13,19.17,RandomForest
S001,P003,2024-01-14,19.23,RandomForest
S001,P003,2024-01-15,13.87,RandomForest
S001,P003,2024-01-16,15.29,RandomForest
S001,P003,2024-01-17,15.37,RandomForest
S001,P003,2024-01-18,15.48,RandomForest
S001,P003,2024-01-19,15.33,RandomForest
S001,P003,2024-01-20,19.37,RandomForest
S001,P003,2024-01-21,19.44,RandomForest
S001,P003,2024-01-22,14.0,RandomForest
S001,P003,2024-01-23,15.39,RandomForest
S001,P003,2024-01-24,15.45,RandomForest
S001,P003,2024-01-25,15.49,RandomForest
S001,P003,2024-01-26,15.37,RandomForest
S001,P003,2024-01-27,19.47,RandomForest
S001,P003,2024-01-28,19.46,RandomForest
S001,P003,2024-01-29,14.05,RandomForest
S001,P003,2024-01-30,15.41,RandomForest
S001,P004,2024-01-01,35.38,RandomForest
S001,P004,2024-01-02,38.04,RandomForest
S001,P004,2024-01-03,38.23,RandomForest
S001,P004,2024-01-04,38.36,RandomForest
S001,P004,2024-01-05,38.29,RandomForest
S001,P004,2024-01-06,47.02,RandomForest
S001,P004,2024-01-07,47.08,RandomForest
S001,P004,2024-01-08,35.28,RandomForest
S001,P004,2024-01-09,38.03,RandomForest
S001,P004,2024-01-10,38.21,RandomForest
S001,P004,2024-01-11,38.32,RandomForest
S001,P004,2024-01-12,38.26,RandomForest
S001,P004,2024-01-13,47.0,RandomForest
S001,P004,2024-01-14,47.02,RandomForest
S001,P004,2024-01-15,35.39,RandomForest
S001,P004,2024-01-16,38.18,RandomForest
S001,P004,2024-01-17,38.36,RandomForest
S001,P004,2024-01-18,38.49,RandomForest
S001,P004,2024-01-19,38.42,RandomForest
S001,P004,2024-01-20,46.84,RandomForest
S001,P004,2024-01-21,46.97,RandomForest
S001,P004,2024-01-22,35.43,RandomForest
S001,P004,2024-01-23,38.23,RandomForest
S001,P004,2024-01-24,38.47,RandomForest
S001,P004,2024-01-25,38.56,RandomForest
S001,P004,2024-01-26,38.49,RandomForest
S001,P004,2024-01-27,46.94,RandomForest
S001,P004,2024-01-28,46.94,RandomForest
S001,P004,2024-01-29,35.46,RandomForest
S001,P004,2024-01-30,38.27,RandomForest
S001,P005,2024-01-01,21.91,RandomForest
S001,P005,2024-01-02,24.29,RandomForest
S001,P005,2024-01-03,24.4,RandomForest
S001,P005,2024-01-04,24.25,RandomForest
S001,P005,2024-01-05,24.3,RandomForest
S001,P005,2024-01-06,28.91,RandomForest
S001,P005,2024-01-07,28.81,RandomForest
S001,P005,2024-01-08,21.88,RandomForest
S001,P005,2024-01-09,24.29,RandomForest
S001,P005,2024-01-10,24.43,RandomForest
S001,P005,2024-01-11,24.28,RandomForest
S001,P005,2024-01-12,24.37,RandomForest
S001,P005,2024-01-13,28.82,RandomForest
S001,P005,2024-01-14,28.74,RandomForest
S001,P005,2024-01-15,21.89,RandomForest
S001,P005,2024-01-16,24.33,RandomForest
S001,P005,2024-01-17,24.45,RandomForest
S001,P005,2024-01-18,24.38,RandomForest
S001,P005,2024-01-19,24.42,RandomForest
S001,P005,2024-01-20,28.85,RandomForest
S001,P005,2024-01-21,28.79,RandomForest
S001,P005,2024-01-22,21.8,RandomForest
S001,P005,2024-01-23,24.27,RandomForest
S001,P005,2024-01-24,24.38,RandomForest
S001,P005,2024-01-25,24.25,RandomForest
S001,P005,2024-01-26,24.33,RandomForest
S001,P005,2024-01-27,28.85,RandomForest
S001,P005,2024-01-28,28.82,RandomForest
S001,P005,2024-01-29,21.59,RandomForest
S001,P005,2024-01-30,24.17,RandomForest
S001,P006,2024-01-01,33.53,RandomForest
S001,P006,2024-01-02,35.16,RandomForest
S001,P006,2024-01-03,35.5,RandomForest
S001,P006,2024-01-04,35.42,RandomForest
S001,P006,2024-01-05,35.4,RandomForest
S001,P006,2024-01-06,43.09,RandomForest
S001,P006,2024-01-07,43.22,RandomForest
S001,P006,2024-01-08,33.47,RandomForest
S001,P006,2024-01-09,35.11,RandomForest
S001,P006,2024-01-10,35.45,RandomForest
S001,P006,2024-01-11,35.49,RandomForest
S001,P006,2024-01-12,35.49,RandomForest
S001,P006,2024-01-13,43.21,RandomForest
S001,P006,2024-01-14,43.24,RandomForest
S001,P006,2024-01-15,33.59,RandomForest
S001,P006,2024-01-16,35.14,RandomForest
S001,P006,2024-01-17,35.46,RandomForest
S001,P006,2024-01-18,35.45,RandomForest
S001,P006,2024-01-19,35.49,RandomForest
S001,P006,2024-01-20,43.07,RandomForest
S001,P006,2024-01-21,43.2,RandomForest
S001,P006,2024-01-22,33.58,RandomForest
S001,P006,2024-01-23,35.0,RandomForest
S001,P006,2024-01-24,35.35,RandomForest
S001,P006,2024-01-25,35.34,RandomForest
S001,P006,2024-01-26,35.43,RandomForest
S001,P006,2024-01-27,43.1,RandomForest
S001,P006,2024-01-28,43.21,RandomForest
S001,P006,2024-01-29,33.53,RandomForest
S001,P006,2024-01-30,34.95,RandomForest
S001,P007,2024-01-01,12.34,RandomForest
S001,P007,2024-01-02,13.54,RandomForest
S001,P007,2024-01-03,13.57,RandomForest
S001,P007,2024-01-04,13.52,RandomForest
S001,P007,2024-01-05,13.4,RandomForest
S001,P007,2024-01-06,16.9,RandomForest
S001,P007,2024-01-07,16.84,RandomForest
S001,P007,2024-01-08,12.33,RandomForest
S001,P007,2024-01-09,13.51,RandomForest
S001,P007,2024-01-10,13.53,RandomForest
S001,P007,2024-01-11,13.48,RandomForest
S001,P007,2024-01-12,13.35,RandomForest
S001,P007,2024-01-13,16.89,RandomForest
S001,P007,2024-01-14,16.85,RandomForest
S001,P007,2024-01-15,12.34,RandomForest
S001,P007,2024-01-16,13.55,RandomForest
S001,P007,2024-01-17,13.57,RandomForest
S001,P007,2024-01-18,13.51,RandomForest
S001,P007,2024-01-19,13.36,RandomForest
S001,P007,2024-01-20,16.94,RandomForest
S001,P007,2024-01-21,16.91,RandomForest
S001,P007,2024-01-22,12.31,RandomForest
S001,P007,2024-01-23,13.51,RandomForest
S001,P007,2024-01-24,13.51,RandomForest
S001,P007,2024-01-25,13.52,RandomForest
S001,P007,2024-01-26,13.42,RandomForest
S001,P007,2024-01-27,17.03,RandomForest
S001,P007,2024-01-28,16.97,RandomForest
S001,P007,2024-01-29,12.36,RandomForest
S001,P007,2024-01-30,13.58,RandomForest
S001,P008,2024-01-01,53.81,RandomForest
S001,P008,2024-01-02,58.05,RandomForest
S001,P008,2024-01-03,58.17,RandomForest
S001,P008,2024-01-04,58.56,RandomForest
S001,P008,2024-01-05,58.83,RandomForest
S001,P008,2024-01-06,75.4,RandomForest
S001,P008,2024-01-07,75.24,RandomForest
S001,P008,2024-01-08,53.79,RandomForest
S001,P008,2024-01-09,58.06,RandomForest
S001,P008,2024-01-10,58.2,RandomForest
S001,P008,2024-01-11,58.62,RandomForest
S001,P008,2024-01-12,58.87,RandomForest
S001,P008,2024-01-13,75.35,RandomForest
S001,P008,2024-01-14,75.11,RandomForest
S001,P008,2024-01-15,53.77,RandomForest
S001,P008,2024-01-16,58.25,RandomForest
S001,P008,2024-01-17,58.44,RandomForest
S001,P008,2024-01-18,58.79,RandomForest
S001,P008,2024-01-19,59.01,RandomForest
S001,P008,2024-01-20,75.34,RandomForest
S001,P008,2024-01-21,75.22,RandomForest
S001,P008,2024-01-22,53.88,RandomForest
S001,P008,2024-01-23,58.32,RandomForest
S001,P008,2024-01-24,58.48,RandomForest
S001,P008,2024-01-25,58.78,RandomForest
S001,P008,2024-01-26,58.95,RandomForest
S001,P008,2024-01-27,75.41,RandomForest
S001,P008,2024-01-28,75.26,RandomForest
S001,P008,2024-01-29,53.9,RandomForest
S001,P008,2024-01-30,58.27,RandomForest
S001,P009,2024-01-01,32.83,RandomForest
S001,P009,2024-01-02,36.37,RandomForest
S001,P009,2024-01-03,36.42,RandomForest
S001,P009,2024-01-04,36.25,RandomForest
S001,P009,2024-01-05,36.06,RandomForest
S001,P009,2024-01-06,46.39,RandomForest
S001,P009,2024-01-07,46.29,RandomForest
S001,P009,2024-01-08,32.71,RandomForest
S001,P009,2024-01-09,36.29,RandomForest
S001,P009,2024-01-10,36.42,RandomForest
S001,P009,2024-01-11,36.23,RandomForest
S001,P009,2024-01-12,36.01,RandomForest
S001,P009,2024-01-13,46.36,RandomForest
S001,P009,2024-01-14,46.33,RandomForest
S001,P009,2024-01-15,32.79,RandomForest
S001,P009,2024-01-16,36.37,RandomForest
S001,P009,2024-01-17,36.54,RandomForest
S001,P009,2024-01-18,36.3,RandomForest
S001,P009,2024-01-19,36.13,RandomForest
S001,P009,2024-01-20,46.42,RandomForest
S001,P009,2024-01-21,46.42,RandomForest
S001,P009,2024-01-22,32.88,RandomForest
S001,P009,2024-01-23,36.44,RandomForest
S001,P009,2024-01-24,36.58,RandomForest
S001,P009,2024-01-25,36.34,RandomForest
S001,P009,2024-01-26,36.22,RandomForest
S001,P009,2024-01-27,46.5,RandomForest
S001,P009,2024-01-28,46.51,RandomForest
S001,P009,2024-01-29,32.87,RandomForest
S001,P009,2024-01-30,36.51,RandomForest
S001,P010,2024-01-01,12.73,RandomForest
S001,P010,2024-01-02,14.49,RandomForest
S001,P010,2024-01-03,14.58,RandomForest
S001,P010,2024-01-04,14.55,RandomForest
S001,P010,2024-01-05,14.37,RandomForest
S001,P010,2024-01-06,18.12,RandomForest
S001,P010,2024-01-07,18.12,RandomForest
S001,P010,2024-01-08,12.85,RandomForest
S001,P010,2024-01-09,14.58,RandomForest
S001,P010,2024-01-10,14.62,RandomForest
S001,P010,2024-01-11,14.57,RandomForest
S001,P010,2024-01-12,14.33,RandomForest
S001,P010,2024-01-13,18.17,RandomForest
S001,P010,2024-01-14,18.21,RandomForest
S001,P010,2024-01-15,12.82,RandomForest
S001,P010,2024-01-16,14.58,RandomForest
S001,P010,2024-01-17,14.62,RandomForest
S001,P010,2024-01-18,14.67,RandomForest
S001,P010,2024-01-19,14.44,RandomForest
S001,P010,2024-01-20,18.34,RandomForest
S001,P010,2024-01-21,18.37,RandomForest
S001,P010,2024-01-22,12.96,RandomForest
S001,P010,2024-01-23,14.66,RandomForest
S001,P010,2024-01-24,14.69,RandomForest
S001,P010,2024-01-25,14.68,RandomForest
S001,P010,2024-01-26,14.53,RandomForest
S001,P010,2024-01-27,18.53,RandomForest
S001,P010,2024-01-28,18.52,RandomForest
S001,P010,2024-01-29,13.04,RandomForest
S001,P010,2024-01-30,14.75,RandomForest
S002,P001,2024-01-01,17.1,RandomForest
S002,P001,2024-01-02,18.45,RandomForest
S002,P001,2024-01-03,18.56,RandomForest
S002,P001,2024-01-04,18.54,RandomForest
S002,P001,2024-01-05,18.55,RandomForest
S002,P001,2024-01-06,23.38,RandomForest
S002,P001,2024-01-07,23.28,RandomForest
S002,P001,2024-01-08,17.18,RandomForest
S002,P001,2024-01-09,18.56,RandomForest
S002,P001,2024-01-10,18.66,RandomForest
S002,P001,2024-01-11,18.63,RandomForest
S002,P001,2024-01-12,18.63,RandomForest
S002,P001,2024-01-13,23.45,RandomForest
S002,P001,2024-01-14,23.32,RandomForest
S002,P001,2024-01-15,17.27,RandomForest
S002,P001,2024-01-16,18.56,RandomForest
S002,P001,2024-01-17,18.65,RandomForest
S002,P001,2024-01-18,18.63,RandomForest
S002,P001,2024-01-19,18.63,RandomForest
S002,P001,2024-01-20,23.42,RandomForest
S002,P001,2024-01-21,23.31,RandomForest
S002,P001,2024-01-22,17.31,RandomForest
S002,P001,2024-01-23,18.61,RandomForest
S002,P001,2024-01-24,18.72,RandomForest
S002,P001,2024-01-25,18.74,RandomForest
S002,P001,2024-01-26,18.74,RandomForest
S002,P001,2024-01-27,23.41,RandomForest
S002,P001,2024-01-28,23.26,RandomForest
S002,P001,2024-01-29,17.31,RandomForest
S002,P001,2024-01-30,18.66,RandomForest
S002,P002,2024-01-01,32.54,RandomForest
S002,P002,2024-01-02,34.07,RandomForest
S002,P002,2024-01-03,34.33,RandomForest
S002,P002,2024-01-04,34.33,RandomForest
S002,P002,2024-01-05,34.39,RandomForest
S002,P002,2024-01-06,43.37,RandomForest
S002,P002,2024-01-07,43.3,RandomForest
S002,P002,2024-01-08,32.44,RandomForest
S002,P002,2024-01-09,33.98,RandomForest
S002,P002,2024-01-10,34.26,RandomForest
S002,P002,2024-01-11,34.34,RandomForest
S002,P002,2024-01-12,34.4,RandomForest
S002,P002,2024-01-13,43.39,RandomForest
S002,P002,2024-01-14,43.32,RandomForest
S002,P002,2024-01-15,32.44,RandomForest
S002,P002,2024-01-16,33.98,RandomForest
S002,P002,2024-01-17,34.28,RandomForest
S002,P002,2024-01-18,34.37,RandomForest
S002,P002,2024-01-19,34.42,RandomForest
S002,P002,2024-01-20,43.35,RandomForest
S002,P002,2024-01-21,43.3,RandomForest
S002,P002,2024-01-22,32.56,RandomForest
S002,P002,2024-01-23,34.11,RandomForest
S002,P002,2024-01-24,34.41,RandomForest
S002,P002,2024-01-25,34.51,RandomForest
S002,P002,2024-01-26,34.55,RandomForest
S002,P002,2024-01-27,43.19,RandomForest
S002,P002,2024-01-28,43.15,RandomForest
S002,P002,2024-01-29,32.63,RandomForest
S002,P002,2024-01-30,34.22,RandomForest
S002,P003,2024-01-01,9.84,RandomForest
S002,P003,2024-01-02,10.26,RandomForest
S002,P003,2024-01-03,10.26,RandomForest
S002,P003,2024-01-04,10.25,RandomForest
S002,P003,2024-01-05,10.15,RandomForest
S002,P003,2024-01-06,13.09,RandomForest
S002,P003,2024-01-07,13.03,RandomForest
S002,P003,2024-01-08,9.69,RandomForest
S002,P003,2024-01-09,10.15,RandomForest
S002,P003,2024-01-10,10.16,RandomForest
S002,P003,2024-01-11,10.18,RandomForest
S002,P003,2024-01-12,10.1,RandomForest
S002,P003,2024-01-13,13.09,RandomForest
S002,P003,2024-01-14,13.11,RandomForest
S002,P003,2024-01-15,9.76,RandomForest
S002,P003,2024-01-16,10.17,RandomForest
S002,P003,2024-01-17,10.18,RandomForest
S002,P003,2024-01-18,10.19,RandomForest
S002,P003,2024-01-19,10.12,RandomForest
S002,P003,2024-01-20,13.03,RandomForest
S002,P003,2024-01-21,13.01,RandomForest
S002,P003,2024-01-22,9.78,RandomForest
S002,P003,2024-01-23,10.19,RandomForest
S002,P003,2024-01-24,10.26,RandomForest
S002,P003,2024-01-25,10.3,RandomForest
S002,P003,2024-01-26,10.28,RandomForest
S002,P003,2024-01-27,13.0,RandomForest
S002,P003,2024-01-28,12.97,RandomForest
S002,P003,2024-01-29,9.9,RandomForest
S002,P003,2024-01-30,10.3,RandomForest
S002,P004,2024-01-01,26.5,RandomForest
S002,P004,2024-01-02,28.77,RandomForest
S002,P004,2024-01-03,29.13,RandomForest
S002,P004,2024-01-04,28.96,RandomForest
S002,P004,2024-01-05,29.24,RandomForest
S002,P004,2024-01-06,36.09,RandomForest
S002,P004,2024-01-07,36.09,RandomForest
S002,P004,2024-01-08,26.5,RandomForest
S002,P004,2024-01-09,28.77,RandomForest
S002,P004,2024-01-10,29.13,RandomForest
S002,P004,2024-01-11,28.96,RandomForest
S002,P004,2024-01-12,29.22,RandomForest
S002,P004,2024-01-13,36.14,RandomForest
S002,P004,2024-01-14,36.21,RandomForest
S002,P004,2024-01-15,26.55,RandomForest
S002,P004,2024-01-16,28.85,RandomForest
S002,P004,2024-01-17,29.18,RandomForest
S002,P004,2024-01-18,29.07,RandomForest
S002,P004,2024-01-19,29.33,RandomForest
S002,P004,2024-01-20,36.16,RandomForest
S002,P004,2024-01-21,36.18,RandomForest
S002,P004,2024-01-22,26.55,RandomForest
S002,P004,2024-01-23,28.86,RandomForest
S002,P004,2024-01-24,29.2,RandomForest
S002,P004,2024-01-25,29.02,RandomForest
S002,P004,2024-01-26,29.3,RandomForest
S002,P004,2024-01-27,36.19,RandomForest
S002,P004,2024-01-28,36.18,RandomForest
S002,P004,2024-01-29,26.61,RandomForest
S002,P004,2024-01-30,28.91,RandomForest
S002,P005,2024-01-01,19.19,RandomForest
S002,P005,2024-01-02,20.11,RandomForest
S002,P005,2024-01-03,20.21,RandomForest
S002,P005,2024-01-04,20.2,RandomForest
S002,P005,2024-01-05,20.28,RandomForest
S002,P005,2024-01-06,24.08,RandomForest
S002,P005,2024-01-07,23.97,RandomForest
S002,P005,2024-01-08,19.21,RandomForest
S002,P005,2024-01-09,20.14,RandomForest
S002,P005,2024-01-10,20.17,RandomForest
S002,P005,2024-01-11,20.23,RandomForest
S002,P005,2024-01-12,20.3,RandomForest
S002,P005,2024-01-13,24.06,RandomForest
S002,P005,2024-01-14,24.01,RandomForest
S002,P005,2024-01-15,19.27,RandomForest
S002,P005,2024-01-16,20.18,RandomForest
S002,P005,2024-01-17,20.27,RandomForest
S002,P005,2024-01-18,20.26,RandomForest
S002,P005,2024-01-19,20.35,RandomForest
S002,P005,2024-01-20,24.13,RandomForest
S002,P005,2024-01-21,24.04,RandomForest
S002,P005,2024-01-22,19.34,RandomForest
S002,P005,2024-01-23,20.21,RandomForest
S002,P005,2024-01-24,20.31,RandomForest
S002,P005,2024-01-25,20.31,RandomForest
S002,P005,2024-01-26,20.39,RandomForest
S002,P005,2024-01-27,24.06,RandomForest
S002,P005,2024-01-28,23.91,RandomForest
